"Date","Open","High","Low","Close","Adj.Close","Volume"
"2020-01-24",17629.400391,17646.400391,17514.699219,17565.300781,17565.300781,19368910000
"2020-01-27",17376.800781,17466.099609,17360,17442.5,17442.5,20377400000
"2020-01-28",17475,17519,17456.099609,17500.900391,17500.900391,19813980000
"2020-01-29",17547.5,17561.900391,17496.699219,17511.800781,17511.800781,16941280000
"2020-01-30",17429.599609,17502.900391,17395.900391,17490.599609,17490.599609,19107030000
"2020-01-31",17442.300781,17450.699219,17272.699219,17318.5,17318.5,23915700000
"2020-02-03",17351,17441.599609,17351,17379.800781,17379.800781,19633150000
"2020-02-04",17504.599609,17548.800781,17493.800781,17512.699219,17512.699219,23504530000
"2020-02-05",17629.400391,17674,17606.099609,17651.599609,17651.599609,22339970000
"2020-02-06",17686.099609,17758.5,17670.599609,17757.5,17757.5,19932750000
"2020-02-07",17705.400391,17716.699219,17633,17655.5,17655.5,20982780000
"2020-02-10",17646.599609,17743.599609,17646.599609,17740.599609,17740.599609,21073560000
"2020-02-11",17783.599609,17822.199219,17769.300781,17777.099609,17777.099609,19930210000
"2020-02-12",17873.099609,17873.099609,17812,17832.900391,17832.900391,24620350000
"2020-02-13",17764.099609,17829.199219,17750.800781,17821.199219,17821.199219,25569660000
"2020-02-14",17811.300781,17848.5,17798.599609,17848.400391,17848.400391,22270680000
"2020-02-18",17818.900391,17871.300781,17812.5,17858.300781,17858.300781,29436100000
"2020-02-19",17887.599609,17933.199219,17851.300781,17925.400391,17925.400391,21595300000
"2020-02-20",17911.599609,17970.5,17860.599609,17944.099609,17944.099609,24879800000
"2020-02-21",17936.5,17949.800781,17833.099609,17843.5,17843.5,27126090000
"2020-02-24",17608.900391,17608.900391,17463.099609,17562.699219,17562.699219,31012050000
"2020-02-25",17560.5,17586.800781,17124.900391,17177.400391,17177.400391,30324560000
"2020-02-26",17140.900391,17304.599609,17029.900391,17041.900391,17041.900391,30363200000
"2020-02-27",16803.400391,16816.199219,16456.800781,16717.400391,16717.400391,23268590000
"2020-02-28",16184.400391,16276.900391,15896.400391,16263.099609,16263.099609,59021930000
"2020-03-02",16325,16566.699219,16166.299805,16553.300781,16553.300781,37472150000
"2020-03-03",16674.900391,16798.199219,16378.299805,16423.599609,16423.599609,39312790000
"2020-03-04",16659.900391,16779.5,16539.400391,16779.5,16779.5,27371860000
"2020-03-05",16541.599609,16684.900391,16456.699219,16554,16554,31301230000
"2020-03-06",16222.099609,16261.5,16015.799805,16175,16175,37470380000
"2020-03-09",15221.799805,15240.299805,14498.299805,14514.200195,14514.200195,55922740000
"2020-03-10",15019,15048.799805,14481.900391,14958.099609,14958.099609,57100130000
"2020-03-11",14639.700195,14714.200195,14185.200195,14270.099609,14270.099609,46899090000
"2020-03-12",13611.799805,13611.799805,12451.099609,12508.5,12508.5,67833290000
"2020-03-13",13161.599609,13716.299805,12608.299805,13716.299805,13716.299805,66932870000
"2020-03-16",12648.700195,12851.700195,11883.700195,12360.400391,12360.400391,52566830000
"2020-03-17",12525.299805,13114.5,12322.700195,12685.200195,12685.200195,61874520000
"2020-03-18",12197.700195,12500,11384.099609,11721.400391,11721.400391,58943700000
"2020-03-19",11657.299805,12294.400391,11361.299805,12170.5,12170.5,53158630000
"2020-03-20",12335.700195,12670.799805,11809.400391,11851.799805,11851.799805,72789030000
"2020-03-23",11802.799805,11870.599609,11172.700195,11228.5,11228.5,47324150000
"2020-03-24",11909.700195,12588.299805,11823.900391,12571.099609,12571.099609,48933250000
"2020-03-25",12588.099609,13690.400391,12496.299805,13139.200195,13139.200195,55312680000
"2020-03-26",13154.099609,13592.299805,13138.299805,13371.200195,13371.200195,47104740000
"2020-03-27",12942.900391,12963.599609,12630.299805,12687.700195,12687.700195,45337800000
"2020-03-30",12780.900391,13048.400391,12549,13038.5,13038.5,38824650000
"2020-03-31",13083.900391,13557.599609,13083.900391,13378.799805,13378.799805,49899390000
