"ï..Date","Price","Open","High","Low","Vol.","Change.."
"Dec 21, 2018",10633.82,10573.08,10654.66,10512.64,"222.85M","0.21%"
"Dec 20, 2018",10611.1,10621.18,10686.37,10563.44,"126.24M","-1.44%"
"Dec 19, 2018",10766.21,10777.42,10831.44,10749.55,"99.49M","0.24%"
"Dec 18, 2018",10740.89,10744.28,10841.42,10714.97,"99.27M","-0.29%"
"Dec 17, 2018",10772.2,10852.99,10886.8,10700.62,"88.25M","-0.86%"
"Dec 14, 2018",10865.77,10809.58,10903.39,10733.75,"83.94M","-0.54%"
"Dec 13, 2018",10924.7,10978.68,10988.77,10887.26,"90.72M","-0.04%"
"Dec 12, 2018",10929.43,10832.04,10971.12,10815.51,"106.42M","1.38%"
"Dec 11, 2018",10780.51,10711.4,10884.62,10684.62,"104.96M","1.49%"
"Dec 10, 2018",10622.07,10726.17,10757.73,10585.77,"123.24M","-1.54%"
"Dec 07, 2018",10788.09,10876.34,10927.37,10788.09,"103.49M","-0.21%"
"Dec 06, 2018",10810.98,11053.58,11063.44,10762.41,"136.09M","-3.48%"
"Dec 05, 2018",11200.24,11204.32,11266.28,11177.15,"75.66M","-1.19%"
"Dec 04, 2018",11335.32,11429.82,11442.19,11330.44,"86.40M","-1.14%"
"Dec 03, 2018",11465.46,11534.75,11566.97,11457.61,"104.38M","1.85%"
"Nov 30, 2018",11257.24,11311.66,11315.3,11208.6,"112.39M","-0.36%"
"Nov 29, 2018",11298.23,11377.21,11403.72,11275.7,"95.25M","-0.01%"
"Nov 28, 2018",11298.88,11355.8,11358.8,11279.46,"75.21M","-0.09%"
"Nov 27, 2018",11309.11,11380.79,11400.05,11264.65,"77.79M","-0.40%"
"Nov 26, 2018",11354.72,11315.9,11390.93,11301.82,"92.20M","1.45%"
"Nov 23, 2018",11192.69,11146.55,11205.99,11093.52,"64.96M","0.49%"
"Nov 22, 2018",11138.49,11216.29,11221.77,11119.04,"66.56M","-0.94%"
"Nov 21, 2018",11244.17,11138.25,11257.83,11113.34,"95.47M","1.61%"
"Nov 20, 2018",11066.41,11157.65,11187.16,11009.25,"123.68M","-1.58%"
"Nov 19, 2018",11244.54,11384,11419.55,11231.59,"81.15M","-0.85%"
"Nov 16, 2018",11341,11425.8,11448.56,11233.21,"116.51M","-0.11%"
"Nov 15, 2018",11353.67,11447.84,11500.66,11254.92,"99.86M","-0.52%"
"Nov 14, 2018",11412.53,11394.75,11566.79,11314.6,"109.69M","-0.52%"
