"ï..Date","Price","Open","High","Low","Vol.","Change.."
"Nov 12, 2018",25387.18,25959.33,25966.71,25340.51,"346.91M","-2.32%"
"Nov 09, 2018",25989.3,26149.11,26161.49,25882.91,"324.45M","-0.77%"
"Nov 08, 2018",26191.22,26139.59,26277.82,26081.9,"295.65M","0.04%"
"Nov 07, 2018",26180.3,25788.46,26200.14,25765.88,"361.78M","2.13%"
"Nov 06, 2018",25635.01,25452.83,25651.86,25444.9,"265.45M","0.68%"
"Nov 05, 2018",25461.7,25261.47,25507.35,25261.47,"334.74M","0.76%"
"Nov 02, 2018",25270.83,25443.6,25578.98,25078.72,"429.48M","-0.43%"
"Nov 01, 2018",25380.74,25142.08,25396.47,25108.11,"383.97M","1.06%"
"Oct 31, 2018",25115.76,25008.82,25336.55,25008.82,"448.93M","0.97%"
"Oct 30, 2018",24874.64,24482.04,24906.68,24415.69,"470.05M","1.77%"
"Oct 29, 2018",24442.92,24818.98,25040.58,24122.23,"443.85M","-0.99%"
"Oct 26, 2018",24688.31,24770.25,24916.16,24445.19,"505.31M","-1.19%"
"Oct 25, 2018",24984.55,24736.54,25104.29,24645.56,"439.67M","1.63%"
"Oct 24, 2018",24583.42,25172.88,25306.23,24533.19,"496.40M","-2.41%"
"Oct 23, 2018",25191.43,25038.46,25307.7,24768.79,"436.43M","-0.50%"
"Oct 22, 2018",25317.41,25492.14,25561.34,25236.05,"314.94M","-0.50%"
"Oct 19, 2018",25444.34,25421.09,25608.71,25350.02,"350.81M","0.26%"
"Oct 18, 2018",25379.45,25645.56,25691.46,25236.01,"328.02M","-1.27%"
"Oct 17, 2018",25706.68,25705.87,25810.09,25479.16,"298.21M","-0.36%"
"Oct 16, 2018",25798.42,25351.53,25817.68,25351.53,"305.80M","2.17%"
"Oct 15, 2018",25250.55,25332.46,25482.42,25243.88,"287.32M","-0.35%"
"Oct 12, 2018",25339.99,25407.63,25467.55,25000.83,"397.51M","1.15%"
"Oct 11, 2018",25052.83,25518.39,25683.64,24899.77,"522.88M","-2.13%"
"Oct 10, 2018",25598.74,26441.73,26441.73,25593.65,"438.20M","-3.15%"
"Oct 09, 2018",26430.57,26469.19,26539.94,26324.16,"282.56M","-0.21%"
"Oct 08, 2018",26486.78,26399.45,26529.35,26223.09,"273.02M","0.15%"
"Oct 05, 2018",26447.05,26632.77,26676.16,26301.81,"267.10M","-0.68%"
"Oct 04, 2018",26627.48,26784.08,26793.82,26471.61,"289.60M","-0.75%"
"Oct 03, 2018",26828.39,26833.47,26951.81,26789.08,"280.13M","0.20%"
"Oct 02, 2018",26773.94,26648.91,26824.78,26627.66,"258.29M","0.46%"
"Oct 01, 2018",26651.21,26598.36,26737.98,26596.05,"238.32M","0.73%"
"Sep 28, 2018",26458.31,26407.66,26515.76,26383.57,"264.03M","0.07%"
"Sep 27, 2018",26439.93,26418.27,26557.01,26379.95,"226.35M","0.21%"
"Sep 26, 2018",26385.28,26536.86,26606.09,26349.34,"262.62M","-0.40%"
"Sep 25, 2018",26492.21,26601.58,26634.85,26475.58,"234.11M","-0.26%"
"Sep 24, 2018",26562.05,26705.25,26709.94,26548.68,"254.85M","-0.68%"
"Sep 21, 2018",26743.5,26726.25,26769.16,26680.37,"657.62M","0.32%"
"Sep 20, 2018",26656.98,26519.39,26697.49,26519.39,"260.48M","0.95%"
"Sep 19, 2018",26405.76,26287.84,26464.41,26280.76,"251.33M","0.61%"
"Sep 18, 2018",26246.96,26076.21,26317.34,26076.21,"243.00M","0.71%"
"Sep 17, 2018",26062.12,26151.66,26184.47,26030.35,"230.23M","-0.35%"
"Sep 14, 2018",26154.67,26169.56,26211.11,26068.29,"228.64M","0.03%"
"Sep 13, 2018",26145.99,26083.94,26191.64,26067.08,"260.80M","0.57%"
"Sep 12, 2018",25998.92,25989.07,26145.72,25929.43,"282.77M","0.11%"
"Sep 11, 2018",25971.06,25841.14,26019.92,25754.32,"265.96M","0.44%"
"Sep 10, 2018",25857.07,25991.91,26039.96,25854.13,"252.17M","-0.23%"
"Sep 07, 2018",25916.54,25951.02,26002.99,25818.39,"281.35M","-0.31%"
"Sep 06, 2018",25995.87,25973.02,26073.68,25880.84,"262.38M","0.08%"
"Sep 05, 2018",25974.99,25919.84,26011.22,25871.04,"289.21M","0.09%"
